score,time,visitorText,homeText
,19:48,2 Pointer MISSED by Clayton St.'s Ricardo Saams Jr.,
,19:43,Layup MISSED by Clayton St.'s Baqi Lecky,
,19:37,,2 Pointer MISSED by Georgia Tech's Rodney Howard
,19:20,,Jumper MISSED by Georgia Tech's Kyle Sturdivant
,19:06,,Jumper MISSED by Georgia Tech's Lance Terry
,19:03,,Layup MISSED by Georgia Tech's Rodney Howard
0-0,19:02,,Offensive foul by Georgia Tech's Rodney Howard
,18:38,Jumper MISSED by Clayton St.'s Brian Coffey II,
,18:30,,Jumper MISSED by Georgia Tech's Lance Terry
,18:05,Jumper MISSED by Clayton St.'s Travis  Harper II,
,17:55,,2 Pointer MISSED by Georgia Tech's Deivon Smith
0-0,17:50,,
,17:37,,Jumper MISSED by Georgia Tech's Lance Terry
,17:31,,Layup MISSED by Georgia Tech's Rodney Howard
,17:29,,Layup MISSED by Georgia Tech's Rodney Howard
0-2,17:25,,Layup by Georgia Tech's Rodney Howard
,17:00,Jumper MISSED by Clayton St.'s Brian Coffey II,
,16:51,,Layup MISSED by Georgia Tech's Deivon Smith
0-4,16:46,,Layup by Georgia Tech's Rodney Howard
0-4,16:32,Turnover by Clayton St. 's Ricardo Saams Jr.,
0-6,16:27,,Slam Dunk by Georgia Tech's Lance Terry
0-6,16:25,Clayton St. takes a [short] time out.,
0-6,16:25,Subbing out for Clayton St.-Bryce Weinmunson,
0-6,16:25,Subbing out for Clayton St.-Baqi Lecky,
0-6,16:25,Subbing in for Clayton St.-Kobie Johnson,
0-6,16:25,Subbing in for Clayton St.-Wes Williams,
0-6,16:17,Turnover by Clayton St. 's Kobie Johnson,
0-8,16:03,,2 Pointer by Georgia Tech's Deivon Smith
0-8,15:43,,Personal Foul on Georgia Tech's Deivon Smith (Brian Coffey II draws the foul)
3-8,15:33,Jumper by Clayton St.'s Wes Williams,
,15:02,,Jumper MISSED by Georgia Tech's Deivon Smith
3-8,14:56,,Turnover by Georgia Tech 's Rodney Howard
3-8,14:56,,Subbing out for Georgia Tech-Lance Terry
3-8,14:56,,Subbing out for Georgia Tech-Rodney Howard
3-8,14:56,,Subbing in for Georgia Tech-Ja'von Franklin
3-8,14:56,,Subbing in for Georgia Tech-Miles Kelly
6-8,14:40,Jumper by Clayton St.'s Kobie Johnson,
6-11,14:22,,Jumper by Georgia Tech's Miles Kelly
,14:09,2 Pointer MISSED by Clayton St.'s Ricardo Saams Jr.,
6-13,13:50,,2 Pointer by Georgia Tech's Ja'von Franklin
,13:22,2 Pointer MISSED by Clayton St.'s Brian Coffey II,
,13:15,Layup MISSED by Clayton St.'s Ricardo Saams Jr.,
6-15,13:07,,2 Pointer by Georgia Tech's Miles Kelly
6-15,13:07,Personal Foul on Clayton St.'s Ricardo Saams Jr. (Miles Kelly draws the foul),
6-15,13:07,,Subbing out for Georgia Tech-Kyle Sturdivant
6-15,13:07,,Subbing out for Georgia Tech-Dallan Coleman
6-15,13:07,,Subbing in for Georgia Tech-Tristan Maxwell
6-15,13:07,,Subbing in for Georgia Tech-Jalon Moore
6-15,13:07,Subbing out for Clayton St.-Travis  Harper II,
6-15,13:07,Subbing out for Clayton St.-Ricardo Saams Jr.,
6-15,13:07,Subbing in for Clayton St.-Christian Chambers,
6-15,13:07,Subbing in for Clayton St.-Baqi Lecky,
,13:05,,Free Throw MISSED  by Georgia Tech's Miles Kelly
6-15,12:54,,Personal Foul on Georgia Tech's Miles Kelly (Brian Coffey II draws the foul)
,12:54,Free Throw MISSED  by Clayton St.'s Kobie Johnson,
7-15,12:54,Free Throw  by Clayton St.'s Kobie Johnson,
7-15,12:29,,Offensive foul by Georgia Tech's Jalon Moore
10-15,12:13,Jumper by Clayton St.'s Wes Williams,
,11:59,,2 Pointer MISSED by Georgia Tech's Deivon Smith
,11:45,,2 Pointer MISSED by Georgia Tech's Deivon Smith
10-15,11:26,,Personal Foul on Georgia Tech's Jalon Moore (Christian Chambers draws the foul)
10-15,11:26,,Subbing out for Georgia Tech-Deivon Smith
10-15,11:26,,Subbing in for Georgia Tech-Dallan Coleman
12-15,11:09,Layup by Clayton St.'s Baqi Lecky,
12-18,10:48,,Jumper by Georgia Tech's Dallan Coleman
,10:33,Jumper MISSED by Clayton St.'s Kobie Johnson,
,10:18,,2 Pointer MISSED by Georgia Tech's Dallan Coleman
,10:11,2 Pointer MISSED by Clayton St.'s Christian Chambers,
14-18,10:05,Layup by Clayton St.'s Christian Chambers,
14-20,10:01,,Layup by Georgia Tech's Jalon Moore
,09:46,Jumper MISSED by Clayton St.'s Brian Coffey II,
,09:38,2 Pointer MISSED by Clayton St.'s Christian Chambers,
,09:24,,2 Pointer MISSED by Georgia Tech's Ja'von Franklin
,09:01,2 Pointer MISSED by Clayton St.'s Baqi Lecky,
,08:40,,Jumper MISSED by Georgia Tech's Tristan Maxwell
14-20,08:34,,Personal Foul on Georgia Tech's Tristan Maxwell (Brian Coffey II draws the foul)
14-20,08:34,,Subbing out for Georgia Tech-Ja'von Franklin
14-20,08:34,,Subbing out for Georgia Tech-Tristan Maxwell
14-20,08:34,,Subbing out for Georgia Tech-Jalon Moore
14-20,08:34,,Subbing in for Georgia Tech-Lance Terry
14-20,08:34,,Subbing in for Georgia Tech-Kyle Sturdivant
14-20,08:34,,Subbing in for Georgia Tech-Rodney Howard
14-20,08:34,Subbing out for Clayton St.-Brian Coffey II,
14-20,08:34,Subbing out for Clayton St.-Wes Williams,
14-20,08:34,Subbing in for Clayton St.-Bryce Weinmunson,
14-20,08:34,Subbing in for Clayton St.-Ricardo Saams Jr.,
,08:29,Layup MISSED by Clayton St.'s Kobie Johnson,
16-20,08:19,Slam Dunk by Clayton St.'s Christian Chambers,
16-22,08:08,,Slam Dunk by Georgia Tech's Rodney Howard
,07:48,Jumper MISSED by Clayton St.'s Baqi Lecky,
,07:42,,Jumper MISSED by Georgia Tech's Miles Kelly
18-22,07:36,Slam Dunk by Clayton St.'s Ricardo Saams Jr.,
18-22,07:22,,Subbing out for Georgia Tech-Miles Kelly
18-22,07:22,,Subbing in for Georgia Tech-Deivon Smith
18-22,07:22,Subbing out for Clayton St.-Christian Chambers,
18-22,07:22,Subbing in for Clayton St.-Brian Coffey II,
18-24,07:00,,2 Pointer by Georgia Tech's Dallan Coleman
,06:41,Jumper MISSED by Clayton St.'s Brian Coffey II,
,06:33,,Layup MISSED by Georgia Tech's Deivon Smith
,06:33,,Layup MISSED by Georgia Tech's Rodney Howard
18-24,06:33,,
20-24,06:12,2 Pointer by Clayton St.'s Baqi Lecky,
20-24,05:43,Personal Foul on Clayton St.'s Kobie Johnson (Kyle Sturdivant draws the foul),
,05:43,,Free Throw MISSED  by Georgia Tech's Kyle Sturdivant
20-24,05:43,,Subbing out for Georgia Tech-Dallan Coleman
20-24,05:43,,Subbing in for Georgia Tech-Miles Kelly
20-24,05:43,Subbing out for Clayton St.-Baqi Lecky,
20-24,05:43,Subbing in for Clayton St.-Travis  Harper II,
20-25,05:43,,Free Throw  by Georgia Tech's Kyle Sturdivant
20-25,05:19,Turnover by Clayton St. 's Brian Coffey II,
20-25,05:15,Personal Foul on Clayton St.'s Bryce Weinmunson (Kyle Sturdivant draws the foul),
20-26,05:15,,Free Throw  by Georgia Tech's Kyle Sturdivant
20-26,05:15,Subbing out for Clayton St.-Brian Coffey II,
20-26,05:15,Subbing in for Clayton St.-Christian Chambers,
20-27,05:15,,Free Throw  by Georgia Tech's Kyle Sturdivant
22-27,05:05,2 Pointer by Clayton St.'s Ricardo Saams Jr.,
22-27,04:51,Personal Foul on Clayton St.'s Bryce Weinmunson (Lance Terry draws the foul),
22-27,04:51,,Subbing out for Georgia Tech-Rodney Howard
22-27,04:51,,Subbing in for Georgia Tech-Ja'von Franklin
,04:47,,Jumper MISSED by Georgia Tech's Miles Kelly
24-27,04:40,2 Pointer by Clayton St.'s Travis  Harper II,
24-29,04:30,,2 Pointer by Georgia Tech's Kyle Sturdivant
24-29,04:17,Turnover by Clayton St. 's Bryce Weinmunson,
24-31,04:13,,2 Pointer by Georgia Tech's Deivon Smith
26-31,04:00,Layup by Clayton St.'s Christian Chambers,
26-31,04:00,,Personal Foul on Georgia Tech's Miles Kelly (Christian Chambers draws the foul)
26-31,04:00,,Subbing out for Georgia Tech-Lance Terry
26-31,04:00,,Subbing in for Georgia Tech-Dallan Coleman
26-31,04:00,Subbing out for Clayton St.-Kobie Johnson,
26-31,04:00,Subbing out for Clayton St.-Bryce Weinmunson,
26-31,04:00,Subbing in for Clayton St.-Brian Coffey II,
26-31,04:00,Subbing in for Clayton St.-Wes Williams,
,04:00,Free Throw MISSED  by Clayton St.'s Christian Chambers,
,03:48,,2 Pointer MISSED by Georgia Tech's Miles Kelly
26-31,03:39,,Personal Foul on Georgia Tech's Miles Kelly (Christian Chambers draws the foul)
27-31,03:39,Free Throw  by Clayton St.'s Christian Chambers,
27-31,03:39,,Subbing out for Georgia Tech-Miles Kelly
27-31,03:39,,Subbing in for Georgia Tech-Jalon Moore
28-31,03:39,Free Throw  by Clayton St.'s Christian Chambers,
,03:26,,Jumper MISSED by Georgia Tech's Kyle Sturdivant
,03:07,2 Pointer MISSED by Clayton St.'s Ricardo Saams Jr.,
28-31,02:57,Personal Foul on Clayton St.'s Travis  Harper II (Jalon Moore draws the foul),
,02:56,,Free Throw MISSED  by Georgia Tech's Jalon Moore
28-31,02:56,,Subbing out for Georgia Tech-Kyle Sturdivant
28-31,02:56,,Subbing in for Georgia Tech-Tristan Maxwell
28-32,02:56,,Free Throw  by Georgia Tech's Jalon Moore
,02:30,2 Pointer MISSED by Clayton St.'s Brian Coffey II,
28-32,02:22,,Turnover by Georgia Tech 's Jalon Moore
30-32,02:15,2 Pointer by Clayton St.'s Travis  Harper II,
,01:55,,Jumper MISSED by Georgia Tech's Jalon Moore
32-32,01:31,2 Pointer by Clayton St.'s Brian Coffey II,
32-32,01:25,,Turnover by Georgia Tech 's Deivon Smith
,01:20,Jumper MISSED by Clayton St.'s Christian Chambers,
32-32,01:18,,Subbing out for Georgia Tech-Jalon Moore
32-32,01:18,,Subbing in for Georgia Tech-Lance Terry
32-32,01:18,Clayton St. takes a [short] time out.,
,01:02,Jumper MISSED by Clayton St.'s Brian Coffey II,
32-32,00:55,,Turnover by Georgia Tech 's Deivon Smith
34-32,00:53,Layup by Clayton St.'s Brian Coffey II,
,00:48,,Jumper MISSED by Georgia Tech's Dallan Coleman
,00:19,3 Pointer MISSED by Clayton St.'s Travis  Harper II,
34-32,00:19,,Subbing out for Georgia Tech-Deivon Smith
34-32,00:19,,Subbing in for Georgia Tech-Miles Kelly
,00:02,,Jumper MISSED by Georgia Tech's Tristan Maxwell
34-34,00:00,,Layup by Georgia Tech's Ja'von Franklin
34-34,00:00,End of 1st Half.,
